time,ACCU_VOLTAGE___min,SHUNT___current,SHUNT___current_counter
2.892,3.92,2.08,0.0
2.896,3.92,-0.64,0.0
2.9,3.92,0.5,0.0
2.904,3.92,0.2,0.0
2.908,3.92,-0.4,0.0
2.912,3.92,6.76,0.0
2.916,3.92,5.22,0.0
2.92,3.92,0.0,0.0
2.924,3.92,-2.28,0.0
2.928,3.92,-3.48,0.0
2.932,3.92,2.36,0.0
2.936,3.92,0.52,0.0
2.94,3.92,-4.8,0.0
2.944,3.92,5.84,0.0
2.948,3.92,5.66,0.0
2.952,3.92,-0.76,0.0
2.956,3.92,0.22,0.0
2.96,3.92,2.8,0.0
2.964,3.92,8.92,0.0
2.968,3.92,3.52,0.0
2.972,3.92,1.42,0.0
2.976,3.92,3.64,0.0
2.98,3.92,1.0,0.0
2.984,3.92,1.64,0.0
2.988,3.92,9.0,0.0
2.992,3.92,8.72,0.0
2.996,3.92,1.98,0.0
3.0,3.92,1.0,0.0
3.004,3.92,4.92,0.0
3.008,3.92,2.12,0.0
3.012,3.92,-1.76,0.0
3.016,3.92,-0.16,0.0
3.02,3.92,-1.8,0.0
3.024,3.92,4.16,0.0
3.028,3.92,-3.6,0.0
3.032,3.92,-5.0,0.0
3.036,3.92,2.38,0.0
3.04,3.92,0.8,0.0
3.044,3.92,-8.58,0.0
3.048,3.92,1.92,0.0
3.052,3.92,-1.4,0.0
3.056,3.92,1.04,0.0
3.06,3.92,0.2,0.0
3.064,3.92,-4.4,0.0
3.068,3.92,-2.04,0.0
3.072,3.92,0.64,0.0
3.076,3.92,4.72,0.0
3.08,3.92,8.2,0.0
3.084,3.92,9.0,0.0
3.088,3.92,2.84,0.0
3.092,3.92,-0.92,0.0
3.096,3.92,2.6,0.0
3.1,3.92,6.0,0.0
3.104,3.92,7.0,0.0
3.108,3.92,3.32,0.0
3.112,3.92,-0.12,0.0
3.116,3.92,0.58,0.0
3.12,3.92,0.0,0.0
3.124,3.92,0.76,0.0
3.128,3.92,2.0,0.0
3.132,3.92,-0.38,0.0
3.136,3.92,-5.96,0.0
3.14,3.92,-3.5,0.0
3.144,3.92,7.28,0.0
3.148,3.92,6.44,0.0
3.152,3.92,2.0,0.0
3.156,3.92,2.0,0.0
3.16,3.92,2.0,0.0
3.164,3.92,2.0,0.0
3.168,3.92,2.0,0.0
3.172,3.92,2.0,0.0
3.176,3.92,2.0,0.0
3.18,3.92,2.0,0.0
3.184,3.92,2.0,0.0
3.188,3.92,2.0,0.0
3.192,3.92,2.0,0.0
3.196,3.92,2.0,0.0
3.2,3.92,2.0,0.0
3.204,3.92,2.0,0.0
3.208,3.92,2.0,0.0
3.212,3.92,2.0,0.0
3.216,3.92,2.0,0.0
3.22,3.92,2.0,0.0
3.224,3.92,2.0,0.0
3.228,3.92,2.0,0.0
3.232,3.92,2.0,0.0
3.236,3.92,2.0,0.0
3.24,3.92,2.0,0.0
3.244,3.92,2.0,0.0
3.248,3.92,2.0,0.0
3.252,3.92,2.0,0.0
3.256,3.92,2.0,0.0
3.26,3.92,2.0,0.0
3.264,3.92,2.0,0.0
3.268,3.92,2.0,0.0
3.272,3.92,2.0,0.0
3.276,3.92,2.0,0.0
3.28,3.92,2.0,0.0
3.284,3.92,2.0,0.0
3.288,3.92,2.0,0.0
3.292,3.92,2.0,0.0
3.296,3.92,2.0,0.0
3.3,3.92,2.0,0.0
3.304,3.92,2.0,0.0
3.308,3.92,-2.6,0.0
3.312,3.92,-4.48,0.0
